"Etunimi","Sukupuoli"
"Abril","nainen"
"Abshir","mies"
"Abshir","nainen"
"Abshiro","nainen"
"Abu","mies"
"Abubacarr","mies"
"Abubakar","mies"
"Abubakar","nainen"
"Abubaker","mies"
"Abubaker","nainen"
"Abubakr","mies"
"Abuk","nainen"
"Abukar","mies"
"Abukar","nainen"
"Abul","mies"
"Abuukar","mies"
"Abuukar","nainen"
"Acacia","nainen"
"Ace","mies"
"Achai","nainen"
"Achieng","nainen"
"Achille","mies"
"Achilles","mies"
"Achim","mies"
"Achol","nainen"
"Achraf","mies"
"Acke","mies"
"Ada","mies"
"Ada","nainen"
"Ada-Emilia","nainen"
"Ada-Lotta","nainen"
"Ada-Maria","nainen"
"Ada-Olivia","nainen"
"Ada-Sofia","nainen"
"Adaeze","nainen"
"Adafiia","nainen"
"Adafiina","nainen"
"Adalbert","mies"
"Adalfiina","nainen"
"Adalia","nainen"
"Adaliina","nainen"
"Adalina","nainen"
"Adalmia","nainen"
"Adalmiina","nainen"
"Adalmina","nainen"
"Adam","mies"
"Adam","nainen"
"Ádám","mies"
"Adama","mies"
"Adama","nainen"
"Adamiina","nainen"
"Adan","mies"
"Adan","nainen"
"Adanna","nainen"
"Adanne","nainen"
"Adaora","nainen"
"Adar","mies"
"Adar","nainen"
"Adara","nainen"
"Adaya","nainen"
"Addison","nainen"
"Ade","mies"
"Ade","nainen"
"Adea","nainen"
"Adebayo","mies"
"Adebola","nainen"
"Adebowale","mies"
"Adedamola","mies"
"Adedayo","mies"
"Adedeji","mies"
"Adeel","mies"
"Adeela","nainen"
"Adeele","nainen"
"Adekunle","mies"
"Adel","mies"
"Adel","nainen"
"Adela","nainen"
"Adelaida","nainen"
"Adelaide","nainen"
"Adele","nainen"
"Adelé","nainen"
"Adéle","nainen"
"Adèle","nainen"
"Adelea","nainen"
"Adelee","nainen"
"Adeleena","nainen"
"Adelei","nainen"
"Adelein","nainen"
"Adeleine","nainen"
"Adelene","nainen"
"Adelheid","nainen"
"Adeli","nainen"
"Adelia","nainen"
"Adélia","nainen"
"Adelie","nainen"
"Adeliina","nainen"
"Adeliine","nainen"
"Adelin","nainen"
"Adelina","nainen"
"Adeline","nainen"
"Adelisa","nainen"
"Adella","nainen"
"Adelle","nainen"
"Adelma","nainen"
"Adelmiina","nainen"
"Adelmina","nainen"
"Adelyn","nainen"
"Adem","mies"
"Ademola","mies"
"Aden","mies"
"Aden","nainen"
"Adena","nainen"
"Adeola","mies"
"Adeola","nainen"
"Adessa","nainen"
"Adesuwa","nainen"
"Adetta","nainen"
"Adette","nainen"
"Adewale","mies"
"Adeyemi","mies"
"Adeyinka","mies"
"Adham","mies"
"Adhiambo","nainen"
"Adi","mies"
"Adi","nainen"
"Adia","nainen"
"Adian","mies"
"Adib","mies"
"Adiel","mies"
"Adiel","nainen"
"Adiela","nainen"
"Adiina","nainen"
"Adil","mies"
"Adil","nainen"
"Adila","nainen"
"Adile","nainen"
"Adin","mies"
"Adina","nainen"
"Adine","nainen"
"Adis","mies"
"Adisa","nainen"
"Aditi","nainen"
"Aditya","mies"
"Adiza","nainen"
"Adjei","mies"
"Adjoa","nainen"
"Admir","mies"
"Adna","nainen"
"Adnaan","mies"
"Adnan","mies"
"Adnan","nainen"
"Adnane","mies"
"Ado","mies"
"Adolf","mies"
"Adolfiina","nainen"
"Adolfina","nainen"
"Adolfo","mies"
"Adolphe","mies"
"Adom","mies"
"Adonai","mies"
"Adonica","nainen"
"Adonika","nainen"
"Adonis","mies"
"Adora","nainen"
"Adriaan","mies"
"Adrian","mies"
"Adrián","mies"
"Adriana","nainen"
"Adriane","nainen"
"Adrianna","nainen"
"Adrianne","nainen"
"Adriano","mies"
"Adrianus","mies"
"Adriatik","mies"
"Adriel","mies"
"Adrien","mies"
"Adrienn","nainen"
"Adrienne","nainen"
"Adu","mies"
"Adut","nainen"
"Adwoa","nainen"
"Adyan","mies"
"Aedan","mies"
"Aelita","nainen"
"Aeon","mies"
"Aeris","nainen"
"Aeshah","nainen"
"Aferdita","nainen"
"Afërdita","nainen"
"Affan","mies"
"Afi","nainen"
"Afia","nainen"
"Afifa","nainen"
"Afiifa","nainen"
"Afnaan","nainen"
"Afnan","nainen"
"Afonso","mies"
"Afra","nainen"
"Afrah","nainen"
"Africa","nainen"
"Afrim","mies"
"Afrin","nainen"
"Afrodite","nainen"
"Afroditi","nainen"
"Afsana","nainen"
"Afsaneh","nainen"
"Afshin","mies"
"Aftab","mies"
"Afua","nainen"
"Agafia","nainen"
"Agane","mies"
"Agape","nainen"
"Agapetus","mies"
"Agata","nainen"
"Agatha","nainen"
"Agathe","nainen"
"Agathon","mies"
"Agaton","mies"
"Agda","nainen"
"Age","mies"
"Ager","mies"
"Agim","mies"
"Agit","mies"
"Agnar","mies"
"Agne","mies"
"Agne","nainen"
"Agneeta","nainen"
"Agneetta","nainen"
"Agner","mies"
"Agnes","nainen"
"Agnès","nainen"
"Ágnes","nainen"
"Agnesa","nainen"
"Agnese","nainen"
"Agnessa","nainen"
"Agneta","nainen"
"Agnete","nainen"
"Agnetha","nainen"
"Agnetta","nainen"
